model,accuracy,precision,recall,f1
linear_svm,0.8975713579871537,0.8967874810018479,0.8975713579871537,0.8969103255631689
logistic_regression,0.8854471513815514,0.8846298947984792,0.8854471513815514,0.8840740258181287
random_forest,0.8691041769602068,0.8711577895547797,0.8691041769602068,0.867019137616909
naive_bayes,0.854775569153586,0.8538052550214336,0.854775569153586,0.8530000340308825
